sleep,svm,0.3821,0.3769,0.9956,0.5468,87.9,30,60
out,svm,0.7215,0.3151,0.0478,0.0830,112.8,30,60
meal,svm,0.9545,0.0000,0.0000,0.0000,119.7,30,60
other,svm,0.6535,0.0000,0.0000,0.0000,110.5,30,60
sleep,xgb,0.4189,0.3834,0.9078,0.5391,43.2,30,60
sleep,xgb,0.4189,0.3834,0.9078,0.5391,53.0,40,80
sleep,xgb,0.4189,0.3834,0.9078,0.5391,61.4,50,100
sleep,xgb,0.4189,0.3834,0.9078,0.5391,66.9,60,120
sleep,xgb,0.4189,0.3834,0.9078,0.5391,74.1,70,140
sleep,xgb,0.4189,0.3834,0.9078,0.5391,82.5,80,160
out,xgb,0.6930,0.2606,0.0894,0.1331,45.4,30,60
out,xgb,0.6930,0.2606,0.0894,0.1331,52.0,40,80
out,xgb,0.6930,0.2606,0.0894,0.1331,59.7,50,100
out,xgb,0.6930,0.2606,0.0894,0.1331,67.6,60,120
out,xgb,0.6930,0.2606,0.0894,0.1331,76.4,70,140
out,xgb,0.6930,0.2606,0.0894,0.1331,82.8,80,160
meal,xgb,0.9545,0.0000,0.0000,0.0000,45.4,30,60
meal,xgb,0.9545,0.0000,0.0000,0.0000,58.3,40,80
sleep,xgb,0.4095,0.3818,0.9312,0.5415,44.4,30,60
sleep,xgb,0.4095,0.3818,0.9312,0.5415,54.7,40,80
sleep,xgb,0.4090,0.3843,0.9605,0.5490,74.2,30,60
sleep,xgb,0.4090,0.3843,0.9605,0.5490,90.2,40,80
sleep,xgb,0.4112,0.3786,0.8931,0.5318,103.4,50,100
sleep,xgb,0.4106,0.3731,0.8433,0.5173,103.5,60,120
sleep,xgb,0.3898,0.3784,0.9795,0.5459,114.9,70,140
sleep,xgb,0.3832,0.3747,0.9678,0.5403,120.4,80,160
out,xgb,0.7122,0.2843,0.0603,0.0995,76.2,30,60
out,xgb,0.7193,0.2987,0.0478,0.0824,90.6,40,80
out,xgb,0.7149,0.3030,0.0624,0.1034,92.3,50,100
out,xgb,0.7237,0.3580,0.0603,0.1032,106.4,60,120
out,xgb,0.7237,0.3614,0.0624,0.1064,113.9,70,140
out,xgb,0.7275,0.3462,0.0374,0.0675,116.8,80,160
meal,xgb,0.9545,0.0000,0.0000,0.0000,69.5,30,60
meal,xgb,0.9545,0.0000,0.0000,0.0000,82.8,40,80
meal,xgb,0.9545,0.0000,0.0000,0.0000,87.0,50,100
meal,xgb,0.9545,0.0000,0.0000,0.0000,99.2,60,120
meal,xgb,0.9545,0.0000,0.0000,0.0000,108.4,70,140
meal,xgb,0.9545,0.0000,0.0000,0.0000,113.9,80,160
other,xgb,0.6535,0.0000,0.0000,0.0000,72.2,30,60
other,xgb,0.6535,0.0000,0.0000,0.0000,78.3,40,80
other,xgb,0.6530,0.3333,0.0016,0.0031,87.3,50,100
other,xgb,0.6535,0.0000,0.0000,0.0000,97.3,60,120
other,xgb,0.6541,1.0000,0.0016,0.0032,101.5,70,140
other,xgb,0.6546,0.7500,0.0047,0.0094,114.7,80,160
meal,xgb,0.9545,0.0000,0.0000,0.0000,250.1,100,200
meal,xgb,0.9254,0.0182,0.0120,0.0145,70.8,100,200
sleep,xgb,0.5948,0.4157,0.2020,0.2719,75.7,30,60
