sleep,svm,0.3772,0.3753,0.9985,0.5456,119.5,30,60
sleep,svm,0.3821,0.3769,0.9956,0.5468,121.8,40,80
sleep,svm,0.3745,0.3745,1.0000,0.5449,125.3,50,100
sleep,svm,0.3745,0.3745,1.0000,0.5449,153.7,60,120
sleep,svm,0.3745,0.3745,1.0000,0.5449,136.7,70,140
sleep,svm,0.3783,0.3756,0.9971,0.5457,145.0,80,160
sleep,svm,0.3745,0.3745,1.0000,0.5449,147.0,90,180
out,svm,0.7259,0.3699,0.0561,0.0975,162.4,30,60
out,svm,0.7133,0.2614,0.0478,0.0808,165.0,40,80
out,svm,0.7220,0.3375,0.0561,0.0963,169.5,50,100
out,svm,0.7198,0.3214,0.0561,0.0956,177.6,60,120
out,svm,0.7215,0.3247,0.0520,0.0896,182.8,70,140
out,svm,0.7209,0.3158,0.0499,0.0862,190.6,80,160
out,svm,0.7220,0.3415,0.0582,0.0995,200.3,90,180
meal,svm,0.9545,0.0000,0.0000,0.0000,187.3,30,60
sleep,svm,0.3947,0.3818,0.9956,0.5519,102.0,30,60
sleep,svm,0.3980,0.3831,0.9956,0.5533,105.3,40,80
sleep,svm,0.3745,0.3745,1.0000,0.5449,110.2,50,100
sleep,svm,0.3942,0.3816,0.9956,0.5517,136.3,60,120
sleep,svm,0.3920,0.3807,0.9956,0.5508,119.9,70,140
sleep,svm,0.3799,0.3762,0.9971,0.5463,130.2,80,160
sleep,svm,0.3893,0.3797,0.9956,0.5497,317.0,90,180
out,svm,0.7253,0.3649,0.0561,0.0973,138.1,30,60
out,svm,0.7133,0.2614,0.0478,0.0808,142.3,40,80
sleep,svm,0.3816,0.3767,0.9956,0.5466,102.9,30,60
sleep,svm,0.3816,0.3767,0.9956,0.5466,105.9,40,80
